"","persuade01","contact01","age","income","educ","female01","nonwhite01","pid","pid.str","interest","vote2008"
"14",0,0,9,15,3,1,0,4,0,2,0
"51",0,0,6,13,3,0,1,2,2,1,1
"59",0,1,11,17,4,0,0,2,2,3,1
"129",0,0,2,11,2,0,1,4,0,1,1
"203",0,0,2,1,1,1,1,4,0,0,0
"280",1,0,10,21,4,0,0,7,3,4,1
"305",0,0,8,13,2,1,1,1,3,4,1
"331",0,1,1,5,2,0,1,3,1,1,0
"378",1,1,11,24,5,1,0,1,3,4,1
"414",1,0,3,1,2,1,1,1,3,3,1
"452",1,1,9,18,4,0,0,1,3,4,1
"539",1,0,8,13,1,1,1,1,3,1,0
"640",NA,NA,NA,NA,2,1,1,1,3,1,1
"659",0,0,7,3,1,0,1,1,3,3,1
"756",0,0,5,16,1,1,1,3,1,1,0
"794",0,0,6,NA,1,1,1,4,0,1,1
"826",0,0,7,12,3,1,1,1,3,1,0
"864",1,0,1,NA,1,0,1,4,0,1,0
"871",1,0,3,25,3,1,1,3,1,2,0
"947",0,0,9,12,2,1,0,4,0,0,0
"1033",0,0,2,4,5,0,0,2,2,4,1
"1134",NA,NA,7,11,3,0,1,3,1,4,1
"1169",0,0,1,NA,3,1,1,5,1,1,0
"1206",1,1,6,1,1,1,1,1,3,3,1
"1290",0,0,3,10,3,0,0,5,1,1,0
"1461",0,0,4,2,3,0,1,4,0,1,0
"1582",0,1,11,13,4,1,0,2,2,1,1
"1692",0,0,11,1,1,0,1,1,3,1,0
"1861",0,0,NA,NA,5,0,1,4,0,2,0
"1908",0,0,4,15,3,0,1,3,1,3,0
"2015",0,0,10,NA,1,0,1,1,3,1,1
"2078",0,1,12,11,2,1,0,1,3,2,1
"2097",0,1,11,12,3,1,0,5,1,3,1
"2149",1,1,11,11,3,0,1,1,3,3,1
"2153",1,1,10,22,5,1,0,6,2,1,1
"2189",0,0,12,11,2,1,0,4,0,2,0
"2202",0,0,8,1,2,0,0,4,0,3,1
"2211",0,0,6,NA,4,1,0,7,3,2,1
"2289",1,1,10,16,4,1,0,7,3,4,1
"2407",0,0,7,12,2,1,1,4,0,1,0
"2431",1,1,13,20,4,0,0,4,0,3,1
"2436",0,0,7,11,3,1,0,2,2,1,1
"2690",0,0,4,23,1,1,1,3,1,3,0
"2696",1,0,8,13,3,0,1,1,3,4,1
"2719",0,1,11,28,3,0,0,7,3,4,1
"2770",1,1,6,23,5,0,1,6,2,4,1
"2833",0,0,5,22,4,1,0,2,2,1,1
"3032",1,1,10,22,4,1,1,1,3,3,1
"3083",1,0,4,20,2,0,0,7,3,3,1
"3130",0,1,10,1,2,0,1,2,2,2,1
"3136",1,1,6,3,2,1,1,1,3,4,1
"3152",NA,NA,11,12,3,1,0,5,1,4,1
"3235",0,1,2,15,4,0,1,1,3,4,1
"3241",0,1,12,22,5,1,1,3,1,3,1
"3297",0,1,7,1,3,0,0,7,3,2,1
"3309",0,1,10,20,5,0,1,1,3,3,1
"3541",1,1,12,1,1,1,0,1,3,4,1
"3600",0,0,1,28,3,0,0,1,3,3,0
"3644",1,0,9,9,1,1,0,4,0,3,0
"3997",1,1,10,13,1,1,0,1,3,2,0
"4039",0,0,8,3,2,0,0,4,0,1,0
"4089",0,1,13,13,4,0,0,4,0,3,1
"4091",0,1,5,13,4,0,1,3,1,3,1
"4095",0,0,3,1,3,1,1,4,0,2,0
"4165",1,1,4,11,4,1,0,2,2,4,1
"4189",0,1,10,21,2,1,0,5,1,1,1
"4235",0,0,4,1,3,0,0,4,0,1,0
"4306",1,1,8,1,3,1,0,6,2,3,1
"4329",0,0,8,1,2,0,0,6,2,4,1
"4368",0,0,6,12,5,1,0,7,3,2,1
"4408",NA,NA,9,1,5,1,0,5,1,4,1
"4415",0,1,10,22,3,1,0,2,2,2,1
"4456",1,1,13,13,1,0,0,7,3,3,1
"4506",0,1,11,3,2,0,0,5,1,4,1
"4529",0,0,2,20,3,0,0,2,2,2,1
"4556",0,1,12,13,4,0,0,6,2,3,1
"4581",0,1,8,1,1,1,1,1,3,1,1
"4716",1,1,12,1,3,0,0,3,1,4,1
"4718",0,0,8,9,2,1,0,4,0,2,0
"4753",0,1,3,12,1,1,1,1,3,2,0
"4755",1,1,10,27,3,0,0,6,2,3,1
"4792",1,1,7,21,3,0,1,1,3,3,1
"4857",1,0,11,13,2,1,1,6,2,3,1
"4902",0,1,3,19,3,0,1,6,2,3,1
"4944",1,1,13,2,2,1,0,4,0,3,1
"4992",1,1,9,3,2,1,0,2,2,3,1
"5028",NA,NA,3,16,3,1,0,6,2,1,0
"5052",0,0,3,1,2,1,1,6,2,3,0
"5117",0,0,2,23,3,1,0,1,3,2,1
"5141",1,1,11,21,5,1,0,2,2,2,1
"5299",0,0,8,19,3,1,0,5,1,1,1
"5415",1,0,7,1,3,1,0,7,3,3,1
"5466",0,1,11,24,4,0,0,5,1,3,1
"5476",1,1,10,1,4,1,0,5,1,3,1
"5506",1,0,11,24,4,0,0,7,3,3,1
"5524",0,0,3,27,4,0,0,3,1,4,1
"5631",1,1,4,17,4,0,0,5,1,1,1
"5724",0,0,10,12,1,1,1,1,3,2,0
"5773",1,0,7,1,2,0,0,2,2,0,0
"5864",0,0,3,7,3,0,1,6,2,2,1
